date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2025-08-12,4224.95,4637.79,4220.73,4589.8,883614.2,3931807337.09,120708589.994392,554028286356.2604,0.08282902371878997,0.2011587449300594,0.08282902371878977,0.03919219194535084,0.036135895203582846,0.03390253143540389,0.18606552883576802,0.029991051691044275,0.07823204972655795
2025-08-13,4589.8,4786.25,4563.84,4751.85,899315.48,4212225862.3,120708029.722381,573586451036.2961,0.03469756576719813,0.017613354123490802,0.0346929242308228,0.03899803884474685,0.03616392604543564,0.03410242469921715,-0.004966183055726629,0.0007754056033062796,0.0058788021012777724
2025-08-14,4751.85,4792.0,4458.11,4550.57,1028521.34,4747748202.3,120708029.722381,549290338813.77527,-0.043281516063661776,0.13424356138035098,-0.04328151606366166,0.04778288574469726,0.04103228439668695,0.035363006549290206,0.2031561777392166,0.12629707726228911,0.03629777369082638
2025-08-15,4550.57,4670.98,4370.37,4443.12,740013.35,3335989219.35,,,-0.023895667475016855,-0.3292092309648355,0.0,0.050409843401629705,0.040274341695135905,0.034110267474604675,0.05351892502321443,-0.018644597476441257,-0.036067823071017927
2025-08-16,4443.12,4494.58,4376.38,4425.22,296821.85,1314953848.77,,,-0.004036837628751144,-0.9135360993941353,0.0,0.0502398896754641,0.041032684304973345,0.033935747162944056,-0.0033771353881856007,0.01865434361520729,-0.005129490544013926
2025-08-17,4425.22,4577.87,4398.69,4475.46,324508.23,1458815773.26,,,0.01128914500189666,0.08917877073617166,0.0,0.030268263255192784,0.03834776579618496,0.03386759519256787,-0.5067095799372788,-0.06767265942856117,-0.0020102841824638997
2025-08-18,4475.46,4484.5,4227.39,4315.29,764040.79,3310774760.58,,,-0.03644461004697442,0.8563102798756146,0.0,0.02268715185222597,0.04111856067634219,0.034795635511589026,-0.28830097971919877,0.06976334965897071,0.027033299377682132
2025-08-19,4315.29,4356.5,4067.28,4075.7,813137.39,3423649957.86,,,-0.057122018611481806,0.06227890886660954,0.0,0.02681711237348053,0.04094679021765183,0.035850149374640435,0.16724143859638832,-0.00418619326339949,0.02985577111209188
2025-08-20,4075.7,4378.55,4063.26,4336.33,694993.05,2940058186.22,,,0.06198585717084059,-0.15699824114549615,0.0,0.045985723655856806,0.04605437601056779,0.0374456875191291,0.5392907878641734,0.11754936129674619,0.04354381661176339
2025-08-21,4336.33,4340.41,4204.16,4224.96,469293.34,2004123764.73,,,-0.02601857494372437,-0.3926738141639354,0.0,0.04692777745274993,0.04686025204158722,0.03783500263797409,0.02027877689969817,0.017347026113139208,0.01034311956424914
2025-08-22,4224.96,4886.5,4207.73,4830.6,989885.74,4567562728.96,,,0.1339608902431538,0.7463614909756405,0.0,0.08045130574314222,0.0582965130985283,0.044015897329183,0.5390423338882779,0.21837247026351336,0.1513162017304515
2025-08-23,4830.6,4830.61,4661.09,4777.18,295407.96,1399949632.47,,,-0.011120269301274285,-1.209232206079066,0.0,0.07710919922742508,0.057508197336194215,0.04411356869133022,-0.04242951481687787,-0.01361478192619589,0.002216543604458097
2025-08-24,4777.18,4955.89,4711.99,4780.0,472306.39,2275070174.64,,,0.0005901322527858204,0.4692705900994286,0.0,0.06615737818298945,0.05543031008666448,0.04413178735521829,-0.15318616748358402,-0.03680094239192618,0.0004129093011378185
2025-08-25,4780.0,4797.68,4336.8,4377.67,719329.67,3283003266.99,,,-0.08792392712809562,0.42069185811173687,0.0,0.08133127716629349,0.06238964544213456,0.04750365221177427,0.20649423406426248,0.11827276555982215,0.0736262722480997
2025-08-26,4377.67,4635.1,4313.23,4601.95,657604.45,2951649134.68,,,0.04996350733750899,-0.08971615370789261,0.0,0.08190766479517973,0.06444716900214414,0.04791466976976889,0.007061918159507159,0.03244647975130331,0.00861511901716354
2025-08-27,4601.95,4663.74,4482.76,4507.43,542344.09,2490505056.76,,,-0.020752980410796887,-0.19270295834606863,0.0,0.049554844309756145,0.06483523109858381,0.047936264882316726,-0.5025125516356062,0.006003342475392689,0.0004505978578426635
2025-08-28,4507.43,4634.05,4430.54,4512.13,405886.84,1838212760.19,,,0.0010421795354548463,-0.28982625086414376,0.0,0.05001859525815629,0.06351854416800264,0.0479256247838438,0.009314819364551832,-0.02051724799869323,-0.00022198808209755892
2025-08-29,4512.13,4517.24,4270.22,4360.69,559078.07,2440398500.78,,,-0.034139024117058395,0.3202147219703771,0.0,0.05034478652117251,0.06142397729079588,0.04847731540590521,0.006500227588546656,-0.03353162886060803,0.011445639390402981
2025-08-30,4360.69,4415.32,4258.66,4374.94,207915.53,904940321.54,,,0.0032625037094439952,-0.9891572320620614,0.0,0.03203187267758441,0.05828426072746904,0.04804302796214705,-0.4521636407659611,-0.05246818200756859,-0.008998939691868501
2025-08-31,4374.94,4498.78,4373.77,4392.43,244059.4,1087170239.36,,,0.003989799267330113,0.16027974683999843,0.0,0.017244868213678297,0.05751250682449927,0.0464832124869558,-0.6192168239165081,-0.01332965239584525,-0.033005799621828605
2025-09-01,4392.43,4490.99,4212.31,4314.85,378772.51,1651950026.24,,,-0.01782004322253553,0.43952414911197596,0.0,0.016802948263033857,0.034988116935580696,0.04627107134301209,-0.025960241498191868,-0.49699394642822875,-0.004574268811880702
2025-09-02,4314.85,4417.1,4257.73,4326.52,442799.2,1917061495.57,,,0.0027009622535729394,0.15618060674733483,0.0,0.01705862722856725,0.035267474728934656,0.046087524972002414,0.015101708707634987,0.007952655697845363,-0.003974651412417223
2025-09-03,4326.52,4492.46,4283.79,4452.33,374258.75,1649439983.87,,,0.028664030927280523,-0.16816899102816824,0.0,0.01648130068643612,0.03725731555748392,0.04511386697856319,-0.03442962505248588,0.05488717293601197,-0.02135263434170212
2025-09-04,4452.33,4484.3,4266.19,4298.54,434003.76,1891640683.18,,,-0.03515212449469332,0.14810579453739817,0.0,0.02416604942351107,0.02681010041950644,0.04527151632836449,0.3827222852555235,-0.32906961850860567,0.003488385044145296
2025-09-05,4298.54,4487.87,4255.43,4307.57,560382.08,2438622193.01,,,0.002098509852608579,0.2555656391350534,0.0,0.024033486051193077,0.019925852400768065,0.04519785920905302,-0.005500621749067166,-0.2967606936133823,-0.0016283330165349137
2025-09-06,4307.57,4328.68,4239.48,4274.53,154716.57,663144740.61,,,-0.007699785189141123,-1.287023974412781,0.0,0.022970936649708215,0.019314639360462547,0.04404623666215619,-0.04521831706367194,-0.031154679757325356,-0.025809807674636375
2025-09-07,4274.53,4335.97,4271.42,4306.18,122895.02,528176655.06,,,0.007377045380796403,-0.2302643673771934,0.0,0.023296826827939057,0.019646984408702026,0.043859921707121496,0.01408737069766816,0.01706053686323392,-0.00423895748553434
2025-09-08,4306.18,4384.03,4279.43,4306.62,327423.71,1415742478.93,,,0.0001021735092845076,0.9799245863717305,0.0,0.016825273449236844,0.016704172439432063,0.04243769650164021,-0.3254350357015165,-0.16226532644347083,-0.032963922239221274
2025-09-09,4306.62,4382.05,4277.07,4310.1,285686.32,1233888604.82,,,0.000807731988321646,-0.1363606556779466,0.0,0.005415984072135354,0.016648472402595742,0.042434334330197096,-1.1335275332388228,-0.0033400702632681465,-7.922919746172856e-05
2025-09-10,4310.1,4454.16,4284.83,4350.1,389014.12,1696532857.94,,,0.009237727639462104,0.30872121546398734,0.0,0.006715658326943163,0.016920992342569958,0.042443108892915575,0.21508726871898845,0.016236536920807933,0.00020675841346141487
2025-09-11,4350.1,4480.11,4339.91,4461.11,394484.95,1743556248.68,,,0.025198780648409472,0.013965348841618954,0.0,0.010128413429832065,0.017614890836294982,0.03983452165668717,0.4109028216159119,0.04018961302611887,-0.06343065025764721
2025-09-12,4461.11,4746.46,4452.72,4715.14,480147.24,2202728638.28,,,0.0553809941249282,0.19651181686195882,0.0,0.02313946320431636,0.024091450360266126,0.04064351830584113,0.8261948387075853,0.3131124061476221,0.02010545736536232
2025-09-13,4715.14,4767.44,4608.13,4669.05,250105.34,1173115651.96,,,-0.009822983252737488,-0.652210617748724,0.0,0.025390506794824606,0.023599467704887474,0.039874006910442496,0.09283583217063854,-0.020632863820536487,-0.019114716281693808
2025-09-14,4669.05,4694.21,4580.28,4606.66,177269.21,821041711.85,,,-0.013452542370344423,-0.3442126515781054,0.0,0.02819247962474089,0.020287812116719615,0.03969565004070339,0.10467990647695322,-0.15120383949599464,-0.004483044800908108
2025-09-15,4606.66,4672.07,4466.48,4525.27,328421.64,1490318596.13,,,-0.017825838612281847,0.6166287331200271,0.0,0.031565592403563644,0.02174059150400618,0.039838012066520184,0.11301241697382915,0.06916077201533496,0.003579922616052813
2025-09-16,4525.27,4539.27,4425.47,4503.26,319367.04,1432455964.12,,,-0.004875664942574733,-0.027957233688663964,0.0,0.030283502629292115,0.021576015567494045,0.039799783231769095,-0.041464582819898024,-0.007598782062717069,-0.0009600677051465399
2025-09-17,4503.26,4618.97,4426.97,4592.35,477874.08,2153585234.5,,,0.019590296687393503,0.40300622985677403,0.0,0.01469287515317762,0.022052547191722918,0.03933254912251896,-0.7232404037284528,0.021845806763886103,-0.011809067801875765
2025-09-18,4592.35,4646.7,4555.5,4589.64,320178.33,1473792565.85,,,-0.0005902860008971983,-0.40046914500483954,0.0,0.014558326689202,0.022075713778381557,0.03771984176290868,-0.009199581858427898,0.0010499660887443032,-0.04186613532410336
2025-09-19,4589.64,4622.36,4438.71,4471.56,274141.58,1236841456.58,,,-0.0260642485939285,-0.1552334335551016,0.0,0.017520031210963176,0.024346086301016857,0.03645336900332388,0.18518175598236478,0.0978930295442258,-0.03415238045343356
2025-09-20,4471.56,4511.93,4457.46,4482.83,108057.23,484523840.68,,,0.0025172023891851915,-0.9309836940848643,0.0,0.01639987939235065,0.024268183416834174,0.03609393969156652,-0.06607088627617774,-0.0032049417307887054,-0.00990890659190715
2025-09-21,4482.83,4500.73,4446.23,4447.53,119005.03,532721500.3,,,-0.007905657521594164,0.09650476694551056,0.0,0.01659288275554498,0.02313589925343489,0.026120961281404037,0.01169987307896357,-0.04778067659224118,-0.32338686943126016
2025-09-22,4447.53,4458.09,4081.71,4202.86,655171.06,2758904426.3,,,-0.056583639970266164,1.705730600718392,0.0,0.024389042801137916,0.020083725961649576,0.02788249165719932,0.3851601121547873,-0.14147565796078748,0.06526084643870005
2025-09-23,4202.86,4231.67,4118.33,4165.7,342361.73,1431024029.1,,,-0.008880917203417703,-0.6490284936831217,0.0,0.02318495575836343,0.02009467982332389,0.02787918881481126,-0.050630356271141916,0.00054526115368172,-0.00011846279968493156
2025-09-24,4165.7,4208.71,4078.05,4154.6,298779.55,1244265448.62,,,-0.002668174605535307,-0.13616185767292868,0.0,0.023850895696609864,0.020261404956500813,0.023011446856962606,0.02831816240181537,0.008262748116142176,-0.19188870831803612
2025-09-25,4154.6,4162.96,3825.56,3876.07,870606.23,3458155024.68,,,-0.06939440039748354,1.0694837745888428,0.0,0.031367344173014886,0.02761106810209503,0.024057734223482553,0.2739455852121501,0.3094988677896124,0.044464752631000824
2025-09-26,3876.07,4071.6,3870.18,4034.83,540299.98,2142488867.17,,,0.040142415762716536,-0.47706528124342473,0.0,0.04420955188070463,0.03272881469485366,0.025283538361253754,0.3431735143797063,0.17003916268931243,0.04969699211896389
2025-09-27,4034.83,4040.36,3975.23,4020.82,151363.85,607290939.93,,,-0.0034783075543598782,-1.2724379628069578,0.0,0.03915658325839188,0.031107200854502092,0.02526781597567944,-0.12137230858584787,-0.05081654210375623,-0.0006220361961610718
2025-09-28,4020.82,4146.51,3968.12,4143.89,229154.08,926114651.63,,,0.030149098274008464,0.4147080747013058,0.0,0.042865111342804546,0.03389549302246017,0.025335836302628742,0.09048967660132268,0.08584272524370772,0.0026883580474376533
2025-09-29,4143.89,4238.84,4084.79,4218.07,347386.65,1443486818.13,,,0.01774271725846093,0.416043809016025,0.0,0.0436374058511364,0.03444611890669285,0.02557047902417308,0.017856475256982324,0.01611427602358142,0.009218674805855337
2025-09-30,4218.07,4247.85,4093.58,4146.38,381756.96,1587304174.98,,,-0.01714201304137866,0.09434575101573621,0.0,0.023623112882891022,0.03447739800378973,0.025712760463806425,-0.6136891226903639,0.0009076466392413735,0.005548861816165071
2025-10-01,4146.38,4357.3,4124.52,4350.53,428371.41,1831877352.89,,,0.048062012338863536,0.1152064238922674,0.0,0.02600311973290769,0.03873807391069619,0.027084892284820056,0.09599092833398482,0.11651895936115053,0.051988707391554964
2025-10-02,4350.53,4520.76,4335.44,4487.89,428025.13,1894262052.06,,,0.03108498135682908,-0.0008086908405110197,0.0,0.024384383768879428,0.034782457568718034,0.027662181984316,-0.06427360261699729,-0.10770977155190348,0.02109011686611002
2025-10-03,4487.89,4595.84,4431.28,4516.0,503658.28,2268936521.22,,,0.006243988171312139,0.16271611343022954,0.0,0.024723263821786703,0.03436264635758711,0.02719408657691142,0.013801737566245663,-0.012143054123618189,-0.017066664631530996
2025-10-04,4516.0,4521.67,4443.4,4489.84,155892.88,699322417.04,,,-0.005809579912060488,-1.1727289175223066,0.0,0.0267539009145607,0.034485902548947185,0.02638418807486085,0.07893563579201222,0.003580506052678522,-0.030234650245573765
2025-10-05,4489.84,4619.69,4470.16,4515.92,277215.49,1259500192.42,,,0.005791864963300527,0.5756260412660508,0.0,0.02193626256879217,0.02157482627363709,0.026395925958829117,-0.19853919877721166,-0.4690234340288254,0.00044478434261376726
2025-10-06,4515.92,4738.74,4490.67,4686.54,436126.64,2023482646.9,,,0.03708563898348972,0.4531375139042781,0.0,0.01830932438129799,0.021201839818224377,0.027110103190033433,-0.1807306334003457,-0.01743922293924469,0.02669679134665294
2025-10-07,4686.54,4758.41,4436.69,4449.96,519272.35,2380603258.79,,,-0.05179946294844069,0.17449584479050503,0.0,0.03221182074887608,0.029684046652046353,0.0288807523733031,0.5649230300723249,0.3365217899383167,0.06326889554337102
2025-10-08,4449.96,4559.45,4414.08,4527.74,379989.45,1704651317.69,,,0.01732781138385774,-0.3122850155030364,0.0,0.0332593250843845,0.028992660790593552,0.029031179775935348,0.03200169226124696,-0.02356702995842622,0.005195051705846149
2025-10-09,4527.74,4533.06,4268.77,4370.91,424167.2,1852496750.87,,,-0.03525169334231356,0.10998422794603162,0.0,0.037050201672183064,0.03188719676843803,0.029804260606313446,0.1079386135233045,0.09516185223399348,0.026280939559561345
2025-10-10,4370.91,4396.85,3546.88,3837.92,1035261.23,4154403716.03,,,-0.13004067223666588,0.8922813528650243,0.0,0.0656109545026997,0.053016716155876845,0.038087574570624345,0.5714688764082039,0.5084026889868916,0.2452367455286293
2025-10-11,3837.92,3887.79,3649.67,3750.88,609573.63,2310896260.99,,,-0.0229400740595122,-0.5296493244254171,0.0,0.05418376204755518,0.04934160429607301,0.037820466150273686,-0.1913614010392451,-0.07183963729808414,-0.007037713535744689
2025-10-12,3750.88,4197.03,3699.12,4156.86,632948.7,2510702688.49,,,0.10276950245103925,0.03762963064324241,0.0,0.08457666629285936,0.060662123300342714,0.04129320569684216,0.44527714608782365,0.2065518792568854,0.08784758681047918
2025-10-13,4156.86,4295.78,4049.31,4245.01,522287.23,2177599123.86,,,0.02098419390302894,-0.19217169061272343,0.0,0.0849263072872693,0.06121414803052703,0.04153094572438387,0.004125490932966336,0.009058834819849131,0.005740853999781908
2025-10-14,4245.01,4267.52,3893.32,4127.37,762618.2,3094367816.37,,,-0.028103775219996647,0.3785398272679188,0.0,0.08451506957382875,0.06160356333692061,0.0417415952529956,-0.004854050746247688,0.006341375474619887,0.0050592902645194
2025-10-15,4127.37,4216.97,3930.88,3988.16,492129.66,1990538460.89,,,-0.034310428597267476,-0.4380152945032018,0.0,0.05744623279623188,0.0618804367604627,0.04204189753432861,-0.3860804280776684,0.004484368619532598,0.007168561666331693
2025-10-16,3988.16,4087.09,3827.48,3895.41,525878.7,2079562582.08,,,-0.023531034715046105,0.06632835942048533,0.0,0.05752553436980654,0.05941094878197788,0.042189765477440064,0.0013794966904547815,-0.04072555155241491,0.003510986005069993
2025-10-17,3895.41,3951.67,3675.48,3833.18,581416.58,2210950308.16,,,-0.016104191039755567,0.10039692731153092,0.0,0.02182947641890757,0.05824819774213589,0.04198002619533313,-0.9689677394283015,-0.019765380394148515,-0.0049837290090900665
2025-10-18,3833.18,3929.67,3821.13,3890.7,149307.74,578838841.91,,,0.014894344126595084,-1.3594579599596237,0.0,0.019253064425630552,0.05810340809118522,0.042144002390183,-0.12559094679296798,-0.0024888307239528448,0.003898443887696781
2025-10-19,3890.7,4032.84,3832.04,3984.9,275418.6,1087466588.28,,,0.02392312779676199,0.6122825770099192,0.0,0.025187396474856856,0.05883886040085124,0.04229112575403588,0.2686734905129679,0.012578206589089284,0.0034848887182574594
2025-10-20,3984.9,4086.91,3910.3,3981.1,313440.62,1252509775.96,,,-0.0009540548049803864,0.12931781010398025,0.0,0.020046785613592785,0.04078282025620197,0.04227787690737554,-0.2282749071429352,-0.3665416072006924,-0.0003133263099193177
2025-10-21,3981.1,4112.85,3841.96,3875.11,489121.47,1938820718.2,,,-0.026984113520271406,0.44500093129115675,0.0,0.02107780356724124,0.041094782733821604,0.042482324058744435,0.05015170076592752,0.007620252079165191,0.004824140234099755
2025-10-22,3875.11,3891.65,3714.57,3806.62,453848.51,1734936859.18,,,-0.01783239320896448,-0.07484739959123464,0.0,0.02139822007854429,0.021824808698025732,0.041422902325710026,0.015087221526798885,-0.6328338362423533,-0.025254160770168718
2025-10-23,3806.62,3934.88,3797.51,3858.38,302256.51,1167289793.97,,,0.013505749973226996,-0.4064874362197307,0.0,0.021141496156374555,0.020794573615053488,0.041520441433488126,-0.012069993014249148,-0.048355267639752196,0.0023519464810575585
2025-10-24,3858.38,4012.66,3847.66,3936.24,325778.11,1280234543.06,,,0.019978546677384922,0.07494047772703052,0.0,0.019990022507032718,0.021572098964910524,0.041723679302570496,-0.05600447722834857,0.03670869634074827,0.004882945993172511
2025-10-25,3936.24,3970.14,3913.55,3954.72,86620.3,341366129.41,,,0.0046838493124264375,-1.3246823062676674,0.0,0.020253287041365812,0.019004838780738404,0.039729762316164784,0.013083828983732986,-0.12670714570693606,-0.04896822929102873
