Date,Link,USDC
2018-03-31,-0.030076413,NA
2018-04-01,-0.024931842,NA
2018-04-02,0.025775724,NA
2018-04-03,0.001404889,NA
2018-04-04,0.071638067,NA
2018-04-05,-0.022867958,NA
2018-04-06,-0.006707833,NA
2018-04-07,0.062989334,NA
2018-04-08,0.030373258,NA
2018-04-09,-0.025581924,NA
2018-04-10,0.079868527,NA
2018-04-11,-0.031857342,NA
2018-04-12,-0.062837535,NA
2018-04-13,-0.011556369,NA
2018-04-14,0.011173301,NA
2018-04-15,0.015963851,NA
2018-04-16,0.005515181,NA
2018-04-17,0.038739828,NA
2018-04-18,0.022237672,NA
2018-04-19,0.001527705,NA
2018-04-20,-0.084495223,NA
2018-04-21,0.034289073,NA
2018-04-22,-0.005695904,NA
2018-04-23,-0.052123666,NA
2018-04-24,-0.014627658,NA
2018-04-25,-0.053440546,NA
2018-04-26,0.033191782,NA
2018-04-27,-0.054564048,NA
2018-04-28,0.009397762,NA
2018-04-29,0.060624622,NA
2018-04-30,0.08718921,NA
2018-05-01,0,NA
2018-05-02,0.006944049,NA
2018-05-03,-0.125705559,NA
2018-05-04,0.021248416,NA
2018-05-05,-0.056841356,NA
2018-05-06,-0.031445031,NA
2018-05-07,0.119988757,NA
2018-05-08,-0.038056748,NA
2018-05-09,-0.0273613,NA
2018-05-10,0.014942171,NA
2018-05-11,-0.055479613,NA
2018-05-12,-0.016834182,NA
2018-05-13,0.018429657,NA
2018-05-14,0.025046032,NA
2018-05-15,0.004653467,NA
2018-05-16,-0.046211893,NA
2018-05-17,-0.030822308,NA
2018-05-18,0.00877464,NA
2018-05-19,-0.023777984,NA
2018-05-20,-0.021673882,NA
2018-05-21,-0.047947203,NA
2018-05-22,-0.041187256,NA
2018-05-23,0.032383944,NA
2018-05-24,0.008472515,NA
2018-05-25,-0.020388407,NA
2018-05-26,0.045544911,NA
2018-05-27,-0.020864653,NA
2018-05-28,0.013578941,NA
2018-05-29,0.013717636,NA
2018-05-30,-0.037727999,NA
2018-05-31,-0.004671346,NA
2018-06-01,0.012959145,NA
2018-06-02,0.028798867,NA
2018-06-03,-0.066132948,NA
2018-06-04,-0.01449801,NA
2018-06-05,-0.043164502,NA
2018-06-06,-0.017394927,NA
2018-06-07,-0.069203987,NA
2018-06-08,-0.032591901,NA
2018-06-09,0.029221223,NA
2018-06-10,-0.089488035,NA
2018-06-11,0.077901809,NA
2018-06-12,-0.07964094,NA
2018-06-13,-0.027574263,NA
2018-06-14,0.039470153,NA
2018-06-15,-0.018882818,NA
2018-06-16,-0.021706279,NA
2018-06-17,-0.045582149,NA
2018-06-18,-0.059131713,NA
2018-06-19,0.020670027,NA
2018-06-20,0.02049005,NA
2018-06-21,-0.037685266,NA
2018-06-22,-0.015732626,NA
2018-06-23,0.015484825,NA
2018-06-24,0.004944386,NA
2018-06-25,-0.03334896,NA
2018-06-26,-0.006138127,NA
2018-06-27,0.000512952,NA
2018-06-28,0.008680167,NA
2018-06-29,0.062088904,NA
2018-06-30,0.180288914,NA
2018-07-01,-0.007810193,NA
2018-07-02,0.062916277,NA
2018-07-03,-0.040059275,NA
2018-07-04,-0.018844156,NA
2018-07-05,-0.082398303,NA
2018-07-06,0.062375387,NA
2018-07-07,0.047281171,NA
2018-07-08,-0.007039528,NA
2018-07-09,-0.030685811,NA
2018-07-10,-0.012215136,NA
2018-07-11,-0.061021567,NA
2018-07-12,0.05052008,NA
2018-07-13,-0.047259562,NA
2018-07-14,-0.035564212,NA
2018-07-15,0.007393335,NA
2018-07-16,0.031420799,NA
2018-07-17,0.077793887,NA
2018-07-18,0.00060018,NA
2018-07-19,-0.025112701,NA
2018-07-20,-0.03103446,NA
2018-07-21,0.025481746,NA
2018-07-22,-0.087667773,NA
2018-07-23,-0.024152461,NA
2018-07-24,-0.022860804,NA
2018-07-25,0.198781229,NA
2018-07-26,0.048329526,NA
2018-07-27,0.041691502,NA
2018-07-28,0.059865253,NA
2018-07-29,0.162394047,NA
2018-07-30,-0.024791697,NA
2018-07-31,-0.014321449,NA
2018-08-01,0.00762467,NA
2018-08-02,0.101584772,NA
2018-08-03,-0.096485322,NA
2018-08-04,-0.094903345,NA
2018-08-05,-0.009472657,NA
2018-08-06,-0.063947203,NA
2018-08-07,0.051774692,NA
2018-08-08,0.045331732,NA
2018-08-09,0.161215021,NA
2018-08-10,0.091572174,NA
2018-08-11,0.021225091,NA
2018-08-12,0.06065254,NA
2018-08-13,0.011325904,NA
2018-08-14,0.0787424,NA
2018-08-15,-0.064708621,NA
2018-08-16,0.015341701,NA
