date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2020-07-07,9347.05,9378.69,9208.31,9257.32,25836.94,239497399.36,18426314.794971,170578292477.78094,-0.009646195573780181,-0.35489377479315976,-0.009591584682370112,0.015667520285851076,0.013288018772637314,0.019065235571599327,-0.0919396439433668,-0.06384553559906782,-0.0011656320379305658
2020-07-08,9257.32,9471.65,9236.9,9439.2,37422.23,350318105.76,18427258.544971,173938578857.69028,0.0194566408812749,0.37045966202096753,0.019507857081750023,0.01652038742226159,0.014018191851152365,0.019437105952014595,0.05300542164005247,0.053493118980712365,0.019317367701705574
2020-07-09,9439.2,9441.67,9171.37,9238.95,30177.18,280648694.08,18428283.544971,170257990257.80984,-0.02144298797071672,-0.21517890326025413,-0.021387365399882563,0.021123256541243293,0.015952032126839825,0.01978388337684935,0.2457794197167724,0.12923032314499114,0.017683718211338417
2020-07-10,9238.95,9317.31,9128.71,9288.57,24422.31,224680670.05,18429289.794971,171181748310.87378,0.005356369188747166,-0.21158895080678963,0.005410971264199661,0.020551397350660378,0.015861570700178622,0.019674259239096544,-0.027445703015810518,-0.005686980563607624,-0.005556491640763051
2020-07-11,9288.57,9302.22,9188.13,9237.13,11785.42,108899834.63,18430264.794971,170242751845.57047,-0.005553380676669826,-0.7286338845267627,-0.005500477161634139,0.015515756137601427,0.01562807586497408,0.015697511664864355,-0.28107290360949055,-0.014830215015911394,-0.22580893663020082
2020-07-12,9237.13,9339.99,9169.13,9300.95,16385.5,151649367.79,18431214.794971,171427807247.28555,0.006885314134900771,0.3295336231241723,0.0069368584576341855,0.015336877198803198,0.014682819082712345,0.015251047887703935,-0.011595829842499414,-0.06239099125033212,-0.02885399246864624
2020-07-13,9300.95,9336.42,9201.18,9237.89,25872.33,240081841.21,18432133.544971,170274022153.75214,-0.006803040881564085,0.45677726045466976,-0.00675319462279699,0.01140256840675009,0.014885761407008072,0.015289232504839845,-0.2964215739153617,0.013727105439912651,0.0025006081504562235
2020-07-14,9237.89,9279.57,9109.7,9256.07,25865.27,238308476.7,18433033.544971,170617448804.59973,0.0019660479265660442,-0.0002729156375178129,0.0020148745057584996,0.006252989659617836,0.014714673211634376,0.015059990565641005,-0.6007789339457976,-0.011559972198076548,-0.015107226870889905
2020-07-15,9256.07,9272.57,9160.89,9193.22,23480.12,216386874.26,18433896.044971,169466861798.54828,-0.006813296677526366,-0.09674703653855414,-0.006766506776129804,0.006195191969386204,0.014723399128479534,0.014971177025117096,-0.009286192521030382,0.0005928320985084896,-0.005914774987059315
2020-07-16,9193.22,9216.53,9029.17,9133.23,27882.77,254255550.28,18434746.044971,168368775620.3105,-0.006546845054009877,0.17185482965352647,-0.006500735408958256,0.006349114020098342,0.01117649594389375,0.014855806653531936,0.02454177638082731,-0.275625008931471,-0.00773601167303132
2020-07-17,9133.23,9183.08,9080.61,9156.79,20542.6,187710134.42,18435483.544971,168809851369.75504,0.0025762697942340487,-0.30550815656486824,0.0026162749695911322,0.0049311201445266855,0.010951634558200212,0.01483269146248662,-0.252749106686712,-0.020324276922246517,-0.001557181884096936
2020-07-18,9156.79,9205.94,9125.92,9177.22,11952.82,109563331.59,18436296.044971,169193944789.82877,0.002228645937913303,-0.5415335449665851,0.0022727175834464995,0.004900717076637841,0.008423169895940134,0.014779987936225016,-0.006184635508894664,-0.26250249023535466,-0.0035595280791160095
2020-07-19,9177.22,9238.3,9113.41,9216.02,12797.83,117297958.15,18437114.794971,169916818692.74866,0.004218947564622714,0.0683083915020774,0.004263356258122127,0.0053601557105831974,0.005529247692272602,0.014732934868244712,0.08961148856209536,-0.42093446450883165,-0.0031886443887326156
2020-07-20,9216.02,9224.76,9136.9,9164.42,18729.9,171877002.63,18437996.044971,168973539714.45312,-0.005614679034429847,0.380845552109923,-0.005566882567919384,0.005045303883179694,0.005379985727598343,0.01471169948705598,-0.060535138625935264,-0.027366043792028828,-0.0014423941974741508
2020-07-21,9164.42,9435.55,9162.25,9392.83,34505.35,337645738.93,18438777.294971,173192300539.52246,0.02461803720890529,0.6109932070651428,0.024660408052629416,0.01129016048736037,0.009579329096259442,0.015361067800644525,0.8054737065446989,0.5769218365173271,0.04319318286379051
